Image Filename,Reference Index,Target Index,Reference Side (px),Reference Size (cm),Scale Factor (px/cm),Target Length (px),Target Width (px),Estimated Target Length (cm),Estimated Target Width (cm),Reference Corners,Target Rotated Rect Points,Status
07_BOOK_TILT45_FAR.jpg,8,2,193.8848,5.0,38.777,799.1318,416.0996,20.6084,10.7306,"(48.0, 900.0); (247.0, 898.0); (244.0, 1081.0); (46.0, 1095.0)","(838.8, 245.6); (1254.9, 250.4); (1245.6, 1049.5); (829.6, 1044.7)",success
07_BOOK_TILT45_NEAR.jpg,7,1,216.7801,5.0,43.356,1003.3461,547.142,23.142,12.6197,"(106.0, 976.0); (327.0, 967.0); (324.0, 1175.0); (106.0, 1195.0)","(707.7, 143.4); (1254.7, 154.9); (1233.6, 1158.0); (686.6, 1146.5)",success
08_BLUETOOTHA_ROT45_FAR.jpg,4,1,132.9456,5.0,26.5891,524.5972,231.3094,19.7298,8.6994,"(817.0, 430.0); (908.0, 336.0); (1003.0, 432.0); (912.0, 526.0)","(371.5, 753.7); (531.2, 921.0); (151.7, 1283.2); (-8.0, 1115.9)",success
08_BLUETOOTHA_ROT45_NEAR.jpg,3,1,154.8848,5.0,30.977,558.7252,258.1331,18.0368,8.3331,"(860.0, 441.0); (972.0, 331.0); (1077.0, 443.0); (967.0, 552.0)","(598.3, 608.9); (780.1, 792.2); (383.5, 1185.7); (201.7, 1002.5)",success
08_BLUETOOTHA_TD_FAR.jpg,4,2,148.5084,5.0,29.7017,569.6096,249.6823,19.1777,8.4063,"(467.0, 261.0); (616.0, 262.0); (618.0, 410.0); (469.0, 409.0)","(385.7, 1001.8); (635.4, 1006.6); (624.3, 1576.1); (374.7, 1571.3)",success
08_BLUETOOTHA_TD_NEAR.jpg,2,1,171.2566,5.0,34.2513,625.3215,287.039,18.2569,8.3804,"(534.0, 283.0); (704.0, 285.0); (704.0, 457.0); (533.0, 455.0)","(459.3, 794.3); (746.4, 796.2); (742.4, 1421.5); (455.3, 1419.6)",success
08_BLUETOOTHA_TILT45_FAR.jpg,2,1,136.5161,5.0,27.3032,326.0,167.0,11.94,6.1165,"(30.0, 555.0); (170.0, 558.0); (170.0, 688.0); (30.0, 691.0)","(605.0, 576.0); (931.0, 576.0); (931.0, 743.0); (605.0, 743.0)",success
08_BLUETOOTHA_TILT45_NEAR.jpg,2,1,150.5884,5.0,30.1177,399.8943,209.8756,13.2777,6.9685,"(73.0, 670.0); (226.0, 670.0); (224.0, 813.0); (71.0, 823.0)","(485.3, 652.1); (885.1, 661.3); (880.3, 871.1); (480.5, 861.9)",success
09_TOOTHPASTE_ROT45_FAR.jpg,3,1,135.7829,5.0,27.1566,664.0657,146.9195,24.4532,5.4101,"(1028.0, 406.0); (1125.0, 501.0); (1031.0, 599.0); (934.0, 504.0)","(546.1, 886.5); (646.8, 993.5); (163.2, 1448.6); (62.5, 1341.6)",success
09_TOOTHPASTE_ROT45_NEAR.jpg,4,1,142.8663,5.0,28.5733,693.6718,156.9777,24.277,5.4939,"(997.0, 309.0); (1098.0, 410.0); (1001.0, 513.0); (898.0, 413.0)","(696.5, 611.5); (807.5, 722.5); (317.0, 1213.0); (206.0, 1102.0)",success
09_TOOTHPASTE_TD_FAR.jpg,4,1,132.5019,5.0,26.5004,654.8233,144.5058,24.71,5.453,"(643.0, 299.0); (775.0, 299.0); (775.0, 432.0); (642.0, 431.0)","(635.8, 961.5); (780.2, 966.5); (757.3, 1620.9); (612.9, 1615.9)",success
09_TOOTHPASTE_TD_NEAR.jpg,3,2,164.7629,5.0,32.9526,794.5566,178.1963,24.1121,5.4077,"(564.0, 166.0); (727.0, 169.0); (727.0, 334.0); (562.0, 332.0)","(561.1, 658.4); (739.3, 660.6); (729.5, 1455.1); (551.3, 1452.9)",success
09_TOOTHPASTE_TILT45_FAR.jpg,3,1,175.557,5.0,35.1114,469.1269,139.3991,13.3611,3.9702,"(37.0, 822.0); (216.0, 822.0); (217.0, 989.0); (37.0, 998.0)","(759.2, 832.7); (1228.2, 845.1); (1224.5, 984.4); (755.5, 972.1)",success
09_TOOTHPASTE_TILT45_NEAR.jpg,3,2,203.3026,5.0,40.6605,595.6063,178.9545,14.6483,4.4012,"(72.0, 746.0); (279.0, 752.0); (278.0, 945.0); (71.0, 952.0)","(618.4, 758.1); (1213.6, 779.8); (1207.1, 958.6); (611.9, 937.0)",success
10_IPAD_ROT45_FAR.jpg,6,2,121.3337,5.0,24.2667,643.2532,495.3721,26.5076,20.4136,"(1041.0, 392.0); (1128.0, 308.0); (1210.0, 397.0); (1123.0, 482.0)","(439.3, 484.5); (785.3, 839.0); (325.0, 1288.3); (-21.0, 933.8)",success
10_IPAD_ROT45_NEAR.jpg,3,1,131.9117,5.0,26.3823,704.2783,542.3508,26.6951,20.5573,"(1084.0, 424.0); (1178.0, 517.0); (1089.0, 613.0); (994.0, 519.0)","(526.5, 425.5); (910.0, 809.0); (412.0, 1307.0); (28.5, 923.5)",success
10_IPAD_TD_FAR.jpg,2,1,140.2366,5.0,28.0473,729.8667,557.3588,26.0227,19.8721,"(588.0, 178.0); (727.0, 191.0); (727.0, 328.0); (584.0, 319.0)","(183.8, 865.0); (741.1, 875.5); (727.2, 1605.3); (170.0, 1594.7)",success
10_IPAD_TD_NEAR.jpg,2,1,138.5491,5.0,27.7098,738.3288,565.5648,26.645,20.4103,"(544.0, 291.0); (685.0, 289.0); (689.0, 425.0); (549.0, 428.0)","(137.0, 713.7); (702.5, 703.1); (716.3, 1441.3); (150.8, 1451.9)",success
10_IPAD_TILT45_FAR.jpg,2,1,143.322,5.0,28.6644,400.6428,323.8919,13.977,11.2994,"(51.0, 618.0); (195.0, 618.0); (196.0, 756.0); (52.0, 765.0)","(612.4, 617.9); (936.3, 623.8); (929.0, 1024.3); (605.1, 1018.5)",success
10_IPAD_TILT45_NEAR.jpg,2,1,203.6398,5.0,40.728,647.8477,608.3451,15.9067,14.9368,"(46.0, 906.0); (255.0, 907.0); (249.0, 1098.0); (39.0, 1110.0)","(591.2, 903.2); (1199.5, 913.9); (1188.1, 1561.6); (579.9, 1550.9)",success
11_AIRPODSCAS_ROT45_FAR.jpg,2,1,147.4531,5.0,29.4906,230.0889,155.5832,7.8021,5.2757,"(855.0, 327.0); (960.0, 431.0); (860.0, 537.0); (753.0, 432.0)","(348.2, 876.8); (455.2, 989.7); (288.2, 1148.0); (181.2, 1035.0)",success
11_AIRPODSCAS_ROT45_NEAR.jpg,2,1,185.3407,5.0,37.0681,270.7876,194.1433,7.3051,5.2375,"(727.0, 489.0); (860.0, 361.0); (986.0, 497.0); (854.0, 626.0)","(477.4, 781.9); (611.6, 922.2); (416.0, 1109.4); (281.7, 969.2)",success
11_AIRPODSCAS_TD_FAR.jpg,2,1,158.0205,5.0,31.6041,226.0,163.0,7.151,5.1576,"(552.0, 279.0); (709.0, 282.0); (711.0, 439.0); (550.0, 436.0)","(577.0, 1074.0); (740.0, 1074.0); (740.0, 1300.0); (577.0, 1300.0)",success
11_AIRPODSCAS_TD_NEAR.jpg,2,1,212.767,5.0,42.5534,302.0,223.0,7.097,5.2405,"(569.0, 250.0); (781.0, 254.0); (783.0, 466.0); (569.0, 463.0)","(611.0, 897.0); (834.0, 897.0); (834.0, 1199.0); (611.0, 1199.0)",success
11_AIRPODSCAS_TILT45_FAR.jpg,2,3,176.0405,5.0,35.2081,138.7237,127.0608,3.9401,3.6089,"(53.0, 678.0); (232.0, 671.0); (233.0, 838.0); (55.0, 857.0)","(738.1, 634.1); (876.8, 637.7); (873.5, 764.7); (734.8, 761.1)",success
11_AIRPODSCAS_TILT45_NEAR.jpg,2,3,151.4291,5.0,30.2858,175.0,130.0,5.7783,4.2924,"(153.0, 642.0); (305.0, 638.0); (306.0, 784.0); (155.0, 798.0)","(544.0, 611.0); (719.0, 611.0); (719.0, 741.0); (544.0, 741.0)",success
12_SOFTSOAPLI_ROT45_FAR.jpg,4,1,145.0321,5.0,29.0064,524.6732,267.2863,18.0882,9.2147,"(844.0, 337.0); (950.0, 437.0); (852.0, 543.0); (746.0, 442.0)","(37.0, 946.0); (226.0, 757.0); (597.0, 1128.0); (408.0, 1317.0)",success
12_SOFTSOAPLI_ROT45_NEAR.jpg,4,1,168.3086,5.0,33.6617,619.2628,310.3381,18.3966,9.2193,"(852.0, 310.0); (971.0, 429.0); (856.0, 550.0); (735.0, 430.0)","(199.0, 806.5); (426.4, 595.3); (847.8, 1049.1); (620.4, 1260.3)",success
12_SOFTSOAPLI_TD_FAR.jpg,4,1,159.522,5.0,31.9044,397.137,289.9694,12.4477,9.0887,"(559.0, 353.0); (717.0, 350.0); (720.0, 510.0); (560.0, 513.0)","(411.8, 1139.0); (808.2, 1162.3); (791.2, 1451.8); (394.7, 1428.5)",success
12_SOFTSOAPLI_TD_NEAR.jpg,4,1,187.0148,5.0,37.403,676.0,339.0,18.0734,9.0635,"(469.0, 278.0); (655.0, 279.0); (659.0, 464.0); (470.0, 466.0)","(369.0, 847.0); (1045.0, 847.0); (1045.0, 1186.0); (369.0, 1186.0)",success
12_SOFTSOAPLI_TILT45_FAR.jpg,4,2,195.6207,5.0,39.1241,491.0,208.0,12.5498,5.3164,"(130.0, 743.0); (329.0, 755.0); (323.0, 942.0); (127.0, 943.0)","(911.0, 589.0); (1119.0, 589.0); (1119.0, 1080.0); (911.0, 1080.0)",success
12_SOFTSOAPLI_TILT45_NEAR.jpg,4,2,81.7571,5.0,16.3514,625.0,274.0,38.223,16.7569,"(377.0, 992.0); (378.0, 1071.0); (341.0, 1059.0); (272.0, 1080.0)","(760.0, 513.0); (1034.0, 513.0); (1034.0, 1138.0); (760.0, 1138.0)",success
13_AUDICARKEY_ROT45_FAR.jpg,1,2,159.2206,5.0,31.8441,254.4738,99.9857,7.9912,3.1398,"(741.0, 476.0); (856.0, 368.0); (964.0, 485.0); (848.0, 595.0)","(301.6, 945.2); (369.5, 1018.6); (182.6, 1191.3); (114.7, 1117.9)",success
13_AUDICARKEY_ROT45_NEAR.jpg,1,2,176.0824,5.0,35.2165,275.1117,116.2525,7.812,3.3011,"(859.0, 316.0); (983.0, 441.0); (862.0, 567.0); (736.0, 442.0)","(547.7, 758.2); (632.9, 837.3); (445.7, 1038.9); (360.5, 959.8)",success
13_AUDICARKEY_TD_FAR.jpg,1,2,179.0084,5.0,35.8017,273.0,108.0,7.6253,3.0166,"(549.0, 215.0); (728.0, 214.0); (731.0, 392.0); (550.0, 393.0)","(596.0, 1123.0); (704.0, 1123.0); (704.0, 1396.0); (596.0, 1396.0)",success
13_AUDICARKEY_TD_NEAR.jpg,1,2,202.0087,5.0,40.4017,320.0,123.0,7.9205,3.0444,"(473.0, 349.0); (674.0, 350.0); (674.0, 553.0); (471.0, 550.0)","(584.0, 953.0); (707.0, 953.0); (707.0, 1273.0); (584.0, 1273.0)",success
13_AUDICARKEY_TILT45_FAR.jpg,2,3,158.8421,5.0,31.7684,156.0,71.0,4.9105,2.2349,"(82.0, 582.0); (244.0, 583.0); (244.0, 735.0); (86.0, 745.0)","(678.0, 611.0); (834.0, 611.0); (834.0, 682.0); (678.0, 682.0)",success
13_AUDICARKEY_TILT45_NEAR.jpg,,,,,,,,,,,,skipped_by_user
14_ALIENWAREM_ROT45_FAR.jpg,4,1,143.2076,5.0,28.6415,347.8965,198.697,12.1466,6.9374,"(847.0, 285.0); (948.0, 387.0); (850.0, 490.0); (748.0, 388.0)","(299.5, 778.5); (440.0, 919.0); (194.0, 1165.0); (53.5, 1024.5)",success
14_ALIENWAREM_ROT45_NEAR.jpg,2,1,165.5249,5.0,33.105,391.0301,225.567,11.8118,6.8137,"(851.0, 377.0); (970.0, 491.0); (857.0, 613.0); (738.0, 497.0)","(465.0, 712.0); (624.5, 871.5); (348.0, 1148.0); (188.5, 988.5)",success
