category,value,n,baseline_mae_cm,reference_mae_cm,mean_delta_mae_cm,median_delta_mae_cm,delta_mae_ci_low,delta_mae_ci_high,baseline_mape_pct,reference_mape_pct,mean_delta_mape_pct,reference_better_rate,paired_t_p_mape,wilcoxon_p_mape,wilcoxon_q_mape
dimension_knownness,unknown,47,5.923404255319149,3.768510638297872,-2.1548936170212762,-0.3183500000000006,-4.357830957446808,-0.2878170478723403,33.05815093568095,19.521612626771528,-13.53653830890943,0.6170212765957447,0.031289811320243,0.0726629273052879,0.13494543642410609
dimension_knownness,known,58,1.918103448275862,1.4573681034482755,-0.4607353448275861,-0.043749999999999845,-1.0697010991379308,0.210179676724138,16.4401539764816,11.744900899161987,-4.695253077319608,0.5517241379310345,0.1375603377190406,0.10152466103433365,0.1466467326051486
shape,irregular,53,5.416037735849057,3.037550943396226,-2.3784867924528297,-0.7286999999999999,-4.3487202594339625,-0.7651380188679254,35.25048739320699,19.147020488912016,-16.10346690429497,0.7169811320754716,0.008617041585939584,0.0013313858855250708,0.00865400825591296
shape,regular,52,1.973076923076923,1.9357144230769234,-0.03736249999999978,0.07197500000000034,-0.8285567788461539,0.7693003846153844,12.288196014864754,11.22938384033308,-1.0588121745316719,0.4423076923076923,0.6296573973343799,0.8626267324654091,0.8647311441600323
camera_pose,topdown,35,3.9099999999999997,1.4651671428571427,-2.444832857142857,-0.5956999999999999,-3.9134466071428564,-1.2250110357142865,25.819849377156398,10.213211480522848,-15.606637896633547,0.7714285714285715,0.0010068632672272338,3.4618424251675606e-05,0.0004500395152717829
camera_pose,rotated,36,3.818055555555555,1.9287583333333336,-1.8892972222222224,-0.37642500000000023,-4.281876944444444,-0.2701618402777782,22.679951438504748,11.339355197159968,-11.34059624134478,0.6666666666666666,0.07521676932763857,0.012085462658433244,0.03142220291192643
camera_pose,tilted,34,3.3926470588235293,4.145035294117647,0.7523882352941176,0.5611999999999999,-0.800414926470588,2.2105491544117646,23.149677783126254,24.501201667458783,1.351523884332528,0.29411764705882354,0.8189759187691578,0.09763269789982587,0.1466467326051486
reference_placement,near,52,4.139423076923077,2.445181730769231,-1.694241346153846,-0.4667749999999995,-3.6148924278846164,-0.1436163701923077,25.991581836154122,14.191669430087025,-11.799912406067099,0.6346153846153846,0.03213562483037982,0.009699434173374561,0.03142220291192643
reference_placement,far,53,3.2905660377358488,2.537696226415094,-0.7528698113207547,-0.018499999999999517,-1.8069781839622638,0.20215433962264145,21.80565602137591,16.24062708009683,-5.565028941279083,0.5283018867924528,0.13662674960905194,0.39786576540629603,0.5172254950281848
object_group,Irregular-Unknown,24,9.052083333333334,4.377547916666667,-4.674535416666667,-1.6843249999999996,-8.608867708333333,-1.5791041666666674,49.273825788303974,21.79682002442213,-27.477005763881838,0.75,0.01667124759751654,0.004810690879821777,0.020846327145894367
object_group,Irregular-Known,29,2.4068965517241385,1.9285879310344824,-0.47830862068965513,-0.54565,-1.4549914224137932,0.6275999568965515,23.644965962781903,16.954082942282962,-6.690883020498939,0.6896551724137931,0.2615068827691769,0.06551516801118851,0.13494543642410609
object_group,Regular-Known,29,1.4293103448275861,0.986148275862069,-0.44316206896551713,0.07679999999999998,-1.2262543103448273,0.2749875431034482,9.235341990181292,6.535718856041018,-2.6996231341402743,0.41379310344827586,0.2461838926026051,0.8647311441600323,0.8647311441600323
object_group,Regular-Unknown,23,2.6586956521739133,3.13299347826087,0.47429782608695686,-0.018499999999999517,-1.0446838043478262,1.9717817934782602,16.137446741639554,17.14748316835351,1.0100364267139574,0.4782608695652174,0.8046575194061442,0.7313888072967529,0.8643685904416171
